subject,condition,encode_phase,response_phase,prop,mem_prop,_count,mem_count,group
101,2,1,2,0.125,0.0,3,0,ptsd
101,2,1,3,0.5416666666666666,0.0,13,0,ptsd
101,2,2,1,0.08333333333333333,0.0,2,0,ptsd
101,2,2,2,0.25,1.0,6,4,ptsd
101,2,2,3,0.6666666666666666,0.0,16,0,ptsd
101,2,3,1,0.25,0.0,6,0,ptsd
101,2,3,2,0.3333333333333333,1.0,8,5,ptsd
101,2,3,3,0.4166666666666667,0.0,10,0,ptsd
102,1,1,1,0.08333333333333333,0.14285714285714285,2,2,ptsd
102,1,1,2,0.16666666666666666,0.14285714285714285,4,2,ptsd
102,1,1,3,0.75,0.7142857142857143,18,10,ptsd
102,1,2,1,0.08333333333333333,0.06666666666666668,2,1,ptsd
102,1,2,2,0.08333333333333333,0.06666666666666668,2,1,ptsd
102,1,2,3,0.8333333333333334,0.8666666666666667,20,13,ptsd
102,1,3,1,0.08333333333333333,0.0,2,0,ptsd
102,1,3,2,0.375,0.6,9,6,ptsd
102,1,3,3,0.5416666666666666,0.4,13,4,ptsd
102,2,1,1,0.04166666666666666,0.0,1,0,ptsd
102,2,1,2,0.25,0.3076923076923077,6,4,ptsd
102,2,1,3,0.7083333333333334,0.6923076923076923,17,9,ptsd
102,2,2,1,0.3333333333333333,0.4666666666666667,8,7,ptsd
102,2,2,2,0.25,0.26666666666666666,6,4,ptsd
102,2,2,3,0.4166666666666667,0.26666666666666666,10,4,ptsd
102,2,3,1,0.08333333333333333,0.08333333333333333,2,1,ptsd
102,2,3,2,0.375,0.4166666666666667,9,5,ptsd
102,2,3,3,0.5416666666666666,0.5,13,6,ptsd
103,1,1,1,0.4583333333333333,0.5789473684210527,11,11,ptsd
103,1,1,2,0.3333333333333333,0.2631578947368421,8,5,ptsd
103,1,1,3,0.20833333333333331,0.15789473684210525,5,3,ptsd
103,1,2,1,0.4583333333333333,0.5789473684210527,11,11,ptsd
103,1,2,2,0.2916666666666667,0.3157894736842105,7,6,ptsd
103,1,2,3,0.25,0.10526315789473684,6,2,ptsd
103,1,3,1,0.20833333333333331,0.3333333333333333,5,4,ptsd
103,1,3,2,0.375,0.4166666666666667,9,5,ptsd
103,1,3,3,0.4166666666666667,0.25,10,3,ptsd
103,2,1,1,0.625,0.5789473684210527,15,11,ptsd
103,2,1,2,0.16666666666666666,0.21052631578947367,4,4,ptsd
103,2,1,3,0.20833333333333331,0.21052631578947367,5,4,ptsd
103,2,2,1,0.4583333333333333,0.5625,11,9,ptsd
103,2,2,2,0.2916666666666667,0.25,7,4,ptsd
103,2,2,3,0.25,0.1875,6,3,ptsd
103,2,3,1,0.375,0.42105263157894735,9,8,ptsd
103,2,3,2,0.375,0.3157894736842105,9,6,ptsd
103,2,3,3,0.25,0.2631578947368421,6,5,ptsd
104,1,1,1,0.2916666666666667,0.2727272727272727,7,3,ptsd
104,1,1,2,0.5833333333333334,0.7272727272727273,14,8,ptsd
104,1,1,3,0.125,0.0,3,0,ptsd
104,1,2,1,0.3333333333333333,0.3333333333333333,8,2,ptsd
104,1,2,2,0.3333333333333333,0.5,8,3,ptsd
104,1,2,3,0.3333333333333333,0.16666666666666666,8,1,ptsd
104,1,3,1,0.3333333333333333,0.5,8,2,ptsd
104,1,3,2,0.3333333333333333,0.5,8,2,ptsd
104,1,3,3,0.3333333333333333,0.0,8,0,ptsd
104,2,1,1,0.2916666666666667,0.5,7,3,ptsd
104,2,1,2,0.4166666666666667,0.5,10,3,ptsd
104,2,1,3,0.2916666666666667,0.0,7,0,ptsd
104,2,2,1,0.2916666666666667,0.0,7,0,ptsd
104,2,2,2,0.4166666666666667,1.0,10,3,ptsd
104,2,2,3,0.2916666666666667,0.0,7,0,ptsd
104,2,3,1,0.20833333333333331,0.0,5,0,ptsd
104,2,3,2,0.5833333333333334,1.0,14,2,ptsd
104,2,3,3,0.20833333333333331,0.0,5,0,ptsd
105,1,1,1,0.4166666666666667,0.4761904761904762,10,10,ptsd
105,1,1,2,0.4166666666666667,0.3809523809523809,10,8,ptsd
105,1,1,3,0.16666666666666666,0.14285714285714285,4,3,ptsd
105,1,2,1,0.6666666666666666,0.8,16,12,ptsd
105,1,2,2,0.2916666666666667,0.2,7,3,ptsd
105,1,2,3,0.04166666666666666,0.0,1,0,ptsd
105,1,3,1,0.5833333333333334,0.6153846153846154,14,8,ptsd
105,1,3,2,0.3333333333333333,0.3076923076923077,8,4,ptsd
105,1,3,3,0.08333333333333333,0.07692307692307693,2,1,ptsd
105,2,1,1,0.4583333333333333,0.4117647058823529,11,7,ptsd
105,2,1,2,0.2916666666666667,0.2352941176470588,7,4,ptsd
105,2,1,3,0.25,0.35294117647058826,6,6,ptsd
105,2,2,1,0.3333333333333333,0.5454545454545454,8,6,ptsd
105,2,2,2,0.4583333333333333,0.3636363636363637,11,4,ptsd
105,2,2,3,0.20833333333333331,0.09090909090909093,5,1,ptsd
105,2,3,1,0.3333333333333333,0.3076923076923077,8,4,ptsd
105,2,3,2,0.3333333333333333,0.38461538461538464,8,5,ptsd
105,2,3,3,0.3333333333333333,0.3076923076923077,8,4,ptsd
106,1,1,1,0.625,0.5833333333333334,15,7,ptsd
106,1,1,2,0.2916666666666667,0.3333333333333333,7,4,ptsd
106,1,1,3,0.08333333333333333,0.08333333333333333,2,1,ptsd
106,1,2,1,0.375,0.25,9,2,ptsd
106,1,2,2,0.625,0.75,15,6,ptsd
106,1,2,3,0.0,0.0,0,0,ptsd
106,1,3,1,0.4166666666666667,0.3333333333333333,10,3,ptsd
